fullurl,postcode
https://www.propertyvalue.com.au/postcode/act/0200,0200
https://www.propertyvalue.com.au/postcode/nt/0800,0800
https://www.propertyvalue.com.au/postcode/nt/0801,0801
https://www.propertyvalue.com.au/postcode/nt/0803,0803
https://www.propertyvalue.com.au/postcode/nt/0804,0804
https://www.propertyvalue.com.au/postcode/nt/0810,0810
https://www.propertyvalue.com.au/postcode/nt/0811,0811
https://www.propertyvalue.com.au/postcode/nt/0812,0812
https://www.propertyvalue.com.au/postcode/nt/0813,0813
https://www.propertyvalue.com.au/postcode/nt/0814,0814
https://www.propertyvalue.com.au/postcode/nt/0815,0815
https://www.propertyvalue.com.au/postcode/nt/0820,0820
https://www.propertyvalue.com.au/postcode/nt/0821,0821
https://www.propertyvalue.com.au/postcode/nt/0822,0822
https://www.propertyvalue.com.au/postcode/nt/0828,0828
https://www.propertyvalue.com.au/postcode/nt/0829,0829
https://www.propertyvalue.com.au/postcode/nt/0830,0830
https://www.propertyvalue.com.au/postcode/nt/0831,0831
https://www.propertyvalue.com.au/postcode/nt/0832,0832
https://www.propertyvalue.com.au/postcode/nt/0834,0834
https://www.propertyvalue.com.au/postcode/nt/0835,0835
https://www.propertyvalue.com.au/postcode/nt/0836,0836
https://www.propertyvalue.com.au/postcode/nt/0837,0837
https://www.propertyvalue.com.au/postcode/nt/0838,0838
https://www.propertyvalue.com.au/postcode/nt/0839,0839
https://www.propertyvalue.com.au/postcode/nt/0840,0840
https://www.propertyvalue.com.au/postcode/nt/0841,0841
https://www.propertyvalue.com.au/postcode/nt/0845,0845
https://www.propertyvalue.com.au/postcode/nt/0846,0846
https://www.propertyvalue.com.au/postcode/nt/0847,0847
https://www.propertyvalue.com.au/postcode/nt/0850,0850
https://www.propertyvalue.com.au/postcode/nt/0851,0851
https://www.propertyvalue.com.au/postcode/nt/0852,0852
https://www.propertyvalue.com.au/postcode/nt/0853,0853
https://www.propertyvalue.com.au/postcode/nt/0854,0854
https://www.propertyvalue.com.au/postcode/nt/0860,0860
https://www.propertyvalue.com.au/postcode/nt/0861,0861
https://www.propertyvalue.com.au/postcode/nt/0862,0862
https://www.propertyvalue.com.au/postcode/nt/0870,0870
https://www.propertyvalue.com.au/postcode/nt/0871,0871
https://www.propertyvalue.com.au/postcode/nt/0872,0872
https://www.propertyvalue.com.au/postcode/nt/0873,0873
https://www.propertyvalue.com.au/postcode/nt/0874,0874
https://www.propertyvalue.com.au/postcode/nt/0875,0875
https://www.propertyvalue.com.au/postcode/nt/0880,0880
https://www.propertyvalue.com.au/postcode/nt/0881,0881
https://www.propertyvalue.com.au/postcode/nt/0885,0885
https://www.propertyvalue.com.au/postcode/nt/0886,0886
https://www.propertyvalue.com.au/postcode/nt/0906,0906
https://www.propertyvalue.com.au/postcode/nt/0907,0907
https://www.propertyvalue.com.au/postcode/nt/0909,0909
https://www.propertyvalue.com.au/postcode/nsw/1001,1001
https://www.propertyvalue.com.au/postcode/nsw/1002,1002
https://www.propertyvalue.com.au/postcode/nsw/1003,1003
https://www.propertyvalue.com.au/postcode/nsw/1004,1004
https://www.propertyvalue.com.au/postcode/nsw/1005,1005
https://www.propertyvalue.com.au/postcode/nsw/1006,1006
https://www.propertyvalue.com.au/postcode/nsw/1007,1007
https://www.propertyvalue.com.au/postcode/nsw/1008,1008
https://www.propertyvalue.com.au/postcode/nsw/1009,1009
https://www.propertyvalue.com.au/postcode/nsw/1010,1010
https://www.propertyvalue.com.au/postcode/nsw/1020,1020
https://www.propertyvalue.com.au/postcode/nsw/1021,1021
https://www.propertyvalue.com.au/postcode/nsw/1022,1022
https://www.propertyvalue.com.au/postcode/nsw/1023,1023
https://www.propertyvalue.com.au/postcode/nsw/1025,1025
https://www.propertyvalue.com.au/postcode/nsw/1026,1026
https://www.propertyvalue.com.au/postcode/nsw/1027,1027
https://www.propertyvalue.com.au/postcode/nsw/1028,1028
https://www.propertyvalue.com.au/postcode/nsw/1029,1029
https://www.propertyvalue.com.au/postcode/nsw/1030,1030
https://www.propertyvalue.com.au/postcode/nsw/1031,1031
https://www.propertyvalue.com.au/postcode/nsw/1032,1032
https://www.propertyvalue.com.au/postcode/nsw/1033,1033
https://www.propertyvalue.com.au/postcode/nsw/1034,1034
https://www.propertyvalue.com.au/postcode/nsw/1035,1035
https://www.propertyvalue.com.au/postcode/nsw/1036,1036
https://www.propertyvalue.com.au/postcode/nsw/1037,1037
https://www.propertyvalue.com.au/postcode/nsw/1038,1038
https://www.propertyvalue.com.au/postcode/nsw/1039,1039
https://www.propertyvalue.com.au/postcode/nsw/1040,1040
